dataset,sensitive_feature,technique,acc,f1,prec,SPD,EOPD,EOD,AOD,DI,FR
Student_Age_bias2,age,Fair-SMOTE,0.8587570621468926,0.8125937031484258,0.7720797720797721,0.06,0.01,0.04,0.02,0.17,0.031638418079096044
Student_Age_bias2,age,Random,0.848587570621469,0.790625,0.7808641975308642,0.04,0.05,0.05,0.04,0.1,0.007909604519774011
Student_Age_bias2,age,xFAIR,0.9649717514124294,0.9555236728837877,0.9487179487179487,0.06,0.0,0.04,0.02,0.15,
Student_Age_bias2,age,FairC,0.8655367231638418,0.8277858176555717,0.8289855072463768,0.08,-0.08,0.08,-0.02,0.21,
Student_Age_bias3,Gender,Fair-SMOTE,0.8666666666666667,0.9063492063492063,0.8691019786910198,0.23,-0.05,0.07,0.01,0.38,0.015819209039548022
Student_Age_bias3,Gender,Random,0.864406779661017,0.9050632911392406,0.8653555219364599,0.22,-0.06,0.06,0.0,0.36,0.011299435028248588
Student_Age_bias3,Gender,xFAIR,0.9717514124293786,0.9803613511390417,0.9734789391575663,0.17,-0.01,0.01,-0.01,0.27,
Student_Age_bias3,Gender,FairC,0.8734463276836159,0.9148936170212766,0.8801169590643275,0.15,-0.04,0.04,-0.01,0.21,
Student_Age_bias3,age,Fair-SMOTE,0.8621468926553673,0.9022435897435898,0.8728682170542635,0.14,0.02,0.06,-0.02,0.18,0.020338983050847456
Student_Age_bias3,age,Random,0.8576271186440678,0.9,0.863013698630137,0.17,0.07,0.09,-0.01,0.22,0.014689265536723164
Student_Age_bias3,age,xFAIR,0.9706214689265537,0.9794628751974723,0.9779179810725552,0.16,0.0,0.01,0.0,0.22,
Student_Age_bias3,age,FairC,0.8723163841807909,0.9140684410646388,0.8799414348462665,0.13,-0.01,0.08,-0.04,0.17,
Student_Age_bias4,Gender,Fair-SMOTE,0.8666666666666667,0.9104704097116844,0.8784773060029283,0.18,-0.05,0.05,-0.01,0.29,0.012429378531073447
Student_Age_bias4,Gender,Random,0.8632768361581921,0.9094988780852655,0.8660968660968661,0.18,-0.05,0.05,0.0,0.26,0.003389830508474576
Student_Age_bias4,Gender,xFAIR,0.9728813559322034,0.9817073170731707,0.9772382397572079,0.12,-0.01,0.01,-0.01,0.18,
Student_Age_bias4,Gender,FairC,0.8666666666666667,0.913235294117647,0.8783592644978784,0.1,-0.03,0.03,0.0,0.14,
Student_Age_bias4,age,Fair-SMOTE,0.8655367231638418,0.9099167297501892,0.8760932944606414,0.01,0.01,0.01,0.0,0.01,0.022598870056497175
Student_Age_bias4,age,Random,0.8564971751412429,0.9045830202854996,0.8649425287356322,0.07,0.06,0.1,-0.02,0.09,0.007909604519774011
Student_Age_bias4,age,xFAIR,0.9740112994350283,0.9824828636709825,0.9772727272727273,0.06,-0.01,0.01,0.0,0.07,
Student_Age_bias4,age,FairC,0.8779661016949153,0.9204712812960235,0.8865248226950354,0.05,-0.01,0.07,-0.04,0.07,
Student_GenAlgo_Sex,Gender,Fair-SMOTE,0.7186440677966102,0.5397412199630314,0.5959183673469388,0.29,-0.24,0.24,-0.02,1.66,0.0655367231638418
Student_GenAlgo_Sex,Gender,Random,0.7254237288135593,0.49269311064718163,0.644808743169399,0.25,-0.16,0.2,0.02,2.19,0.020338983050847456
Student_GenAlgo_Sex,Gender,xFAIR,0.9412429378531073,0.9190031152647975,0.9335443037974683,0.18,-0.02,0.02,0.0,0.6,
Student_GenAlgo_Sex,Gender,FairC,0.7129943502824859,0.5096525096525096,0.6875,0.37,-0.42,0.42,-0.08,3.77,
Student_GenAlgo_Sex,age,Fair-SMOTE,0.7288135593220338,0.5539033457249071,0.6157024793388429,0.17,-0.07,0.14,0.04,0.73,0.04180790960451977
Student_GenAlgo_Sex,age,Random,0.7389830508474576,0.5237113402061856,0.671957671957672,0.18,-0.08,0.16,0.04,1.06,0.03389830508474576
Student_GenAlgo_Sex,age,xFAIR,0.9502824858757062,0.9316770186335404,0.9433962264150944,0.2,-0.01,0.03,0.01,0.62,
Student_GenAlgo_Sex,age,FairC,0.7107344632768362,0.5095785440613027,0.6785714285714286,0.22,-0.2,0.2,-0.04,1.23,
Student_GenAlgo_Age,Gender,Fair-SMOTE,0.9028248587570622,0.935820895522388,0.9414414414414415,0.13,-0.03,0.03,-0.02,0.19,0.006779661016949152
Student_GenAlgo_Age,Gender,Random,0.9084745762711864,0.9404849375459221,0.9315866084425036,0.1,0.0,0.02,-0.01,0.15,0.006779661016949152
Student_GenAlgo_Age,Gender,xFAIR,0.984180790960452,0.9898107714701602,0.9941520467836257,0.14,0.0,0.0,0.0,0.21,
Student_GenAlgo_Age,Gender,FairC,0.9129943502824859,0.9436722750548646,0.9527326440177253,0.12,0.01,0.03,0.02,0.17,
Student_GenAlgo_Age,age,Fair-SMOTE,0.9096045197740112,0.9410898379970545,0.9342105263157895,0.21,0.04,0.04,0.02,0.25,0.010169491525423728
Student_GenAlgo_Age,age,Random,0.9062146892655367,0.9386548410938654,0.93519882179676,0.22,0.06,0.06,0.03,0.26,0.011299435028248588
Student_GenAlgo_Age,age,xFAIR,0.9807909604519774,0.9876900796524257,0.9869753979739508,0.24,0.0,0.04,0.02,0.28,
Student_GenAlgo_Age,age,FairC,0.9073446327683616,0.9402332361516035,0.9457478005865103,0.28,0.08,0.14,-0.03,0.33,
